Pipeline_name,Run_start,Run_end,Duration,Triggered,Status,Error,Run,Parameter,Run_ID
Pipeline_9,2025-06-01 18:23:00,2025-06-01 19:53:00,1:30:00,Event,Cancelled,OutOfMemoryError,Pipeline_9_run_1,execution_type=Medicaid,run_80952
Pipeline_7,2025-06-02 13:04:00,2025-06-02 14:29:00,1:25:00,Manual,Failed,Timeout Error on Job 2,Pipeline_7_run_2,execution_type=Medicaid,run_40815
Pipeline_3,2025-06-03 19:35:00,2025-06-03 20:44:00,1:09:00,Manual,Queued,,Pipeline_3_run_3,execution_type=Medicaid,run_35111
Pipeline_9,2025-06-03 16:15:00,2025-06-03 17:07:00,0:52:00,Schedule,Success,,Pipeline_9_run_4,execution_type=Medicare,run_15464
Pipeline_7,2025-06-01 23:46:00,2025-06-02 01:02:00,1:16:00,Manual,Queued,,Pipeline_7_run_5,execution_type=Medicaid,run_60536
Pipeline_8,2025-06-02 20:42:00,2025-06-02 20:58:00,0:16:00,Manual,Success,,Pipeline_8_run_6,execution_type=Medicaid,run_21663
Pipeline_4,2025-06-02 22:44:00,2025-06-02 23:11:00,0:27:00,Manual,Success,,Pipeline_4_run_7,execution_type=Medicare,run_50890
Pipeline_2,2025-06-03 06:36:00,2025-06-03 07:47:00,1:11:00,Webhook,Cancelled,,Pipeline_2_run_8,execution_type=Medicare,run_83955
Pipeline_6,2025-06-02 10:01:00,2025-06-02 11:04:00,1:03:00,Manual,Success,,Pipeline_6_run_9,execution_type=Medicaid,run_92686
Pipeline_7,2025-06-03 02:23:00,2025-06-03 03:42:00,1:19:00,Webhook,Success,,Pipeline_7_run_10,execution_type=Medicare,run_12561
Pipeline_10,2025-06-01 19:30:00,2025-06-01 20:06:00,0:36:00,Event,In Progress,,Pipeline_10_run_11,execution_type=Medicare,run_84440
Pipeline_7,2025-06-02 07:00:00,2025-06-02 07:16:00,0:16:00,Manual,Queued,,Pipeline_7_run_12,execution_type=Medicare,run_37912
Pipeline_4,2025-06-01 08:35:00,2025-06-01 08:38:00,0:03:00,Schedule,Cancelled,,Pipeline_4_run_13,execution_type=Medicare,run_86338
Pipeline_7,2025-06-03 04:06:00,2025-06-03 04:40:00,0:34:00,Manual,Success,,Pipeline_7_run_14,execution_type=Medicare,run_71407
Pipeline_4,2025-06-02 11:56:00,2025-06-02 12:25:00,0:29:00,Webhook,Cancelled,,Pipeline_4_run_15,execution_type=Medicare,run_89543
Pipeline_9,2025-06-02 19:45:00,2025-06-02 20:20:00,0:35:00,Event,Queued,,Pipeline_9_run_16,execution_type=Medicare,run_84814
Pipeline_10,2025-06-02 03:07:00,2025-06-02 03:14:00,0:07:00,Webhook,Success,,Pipeline_10_run_17,execution_type=Medicare,run_91536
Pipeline_2,2025-06-02 17:12:00,2025-06-02 18:08:00,0:56:00,Schedule,Success,,Pipeline_2_run_18,execution_type=Medicare,run_12458
Pipeline_8,2025-06-01 01:29:00,2025-06-01 02:09:00,0:40:00,Webhook,Queued,,Pipeline_8_run_19,execution_type=Medicare,run_32505
Pipeline_8,2025-06-01 12:13:00,2025-06-01 13:23:00,1:10:00,Schedule,Cancelled,,Pipeline_8_run_20,execution_type=Medicare,run_40379
Pipeline_9,2025-06-03 21:27:00,2025-06-03 22:24:00,0:57:00,Schedule,Success,,Pipeline_9_run_21,execution_type=Medicaid,run_93281
Pipeline_6,2025-06-03 11:34:00,2025-06-03 12:36:00,1:02:00,Manual,In Progress,,Pipeline_6_run_22,execution_type=Medicaid,run_63328
Pipeline_7,2025-06-01 10:13:00,2025-06-01 11:17:00,1:04:00,Manual,Cancelled,,Pipeline_7_run_23,execution_type=Medicare,run_19530
Pipeline_7,2025-06-01 17:44:00,2025-06-01 18:54:00,1:10:00,Manual,Cancelled,OutOfMemoryError,Pipeline_7_run_24,execution_type=Medicaid,run_39821
Pipeline_9,2025-06-01 23:36:00,2025-06-02 01:04:00,1:28:00,Event,In Progress,,Pipeline_9_run_25,execution_type=Medicaid,run_35041
Pipeline_4,2025-06-03 22:49:00,2025-06-03 23:38:00,0:49:00,Webhook,Success,,Pipeline_4_run_26,execution_type=Medicaid,run_28325
Pipeline_2,2025-06-01 04:08:00,2025-06-01 05:27:00,1:19:00,Manual,Success,,Pipeline_2_run_27,execution_type=Medicare,run_51710
Pipeline_4,2025-06-03 23:06:00,2025-06-03 23:35:00,0:29:00,Manual,Failed,FileNotFoundError in input stage,Pipeline_4_run_28,execution_type=Medicaid,run_43618
Pipeline_2,2025-06-01 10:04:00,2025-06-01 10:07:00,0:03:00,Manual,Queued,,Pipeline_2_run_29,execution_type=Medicaid,run_45278
Pipeline_1,2025-06-03 12:08:00,2025-06-03 13:33:00,1:25:00,Schedule,In Progress,,Pipeline_1_run_30,execution_type=Medicaid,run_73296
Pipeline_9,2025-06-02 10:33:00,2025-06-02 11:06:00,0:33:00,Manual,In Progress,,Pipeline_9_run_31,execution_type=Medicaid,run_55011
Pipeline_10,2025-06-03 00:13:00,2025-06-03 00:47:00,0:34:00,Webhook,In Progress,,Pipeline_10_run_32,execution_type=Medicare,run_52599
Pipeline_3,2025-06-01 18:42:00,2025-06-01 20:11:00,1:29:00,Event,In Progress,,Pipeline_3_run_33,execution_type=Medicaid,run_32950
Pipeline_1,2025-06-02 05:32:00,2025-06-02 06:08:00,0:36:00,Event,In Progress,,Pipeline_1_run_34,execution_type=Medicare,run_46370
Pipeline_10,2025-06-01 23:27:00,2025-06-01 23:56:00,0:29:00,Schedule,Cancelled,FileNotFoundError in input stage,Pipeline_10_run_35,execution_type=Medicaid,run_22695
Pipeline_4,2025-06-03 03:56:00,2025-06-03 04:48:00,0:52:00,Webhook,Failed,,Pipeline_4_run_36,execution_type=Medicaid,run_50256
Pipeline_9,2025-06-03 09:10:00,2025-06-03 10:09:00,0:59:00,Event,In Progress,,Pipeline_9_run_37,execution_type=Medicaid,run_13616
Pipeline_10,2025-06-03 13:12:00,2025-06-03 14:12:00,1:00:00,Event,Cancelled,,Pipeline_10_run_38,execution_type=Medicaid,run_16476
Pipeline_9,2025-06-01 05:34:00,2025-06-01 06:30:00,0:56:00,Webhook,Failed,Timeout Error on Job 2,Pipeline_9_run_39,execution_type=Medicare,run_38378
